,overview,title,vote_average,Crime,Comedy,Adventure,Action,Science Fiction,Animation,Family,Drama,Romance,Music,Fantasy,Thriller,War,Western,Mystery,History,Horror,Documentary,Foreign,TV Movie
10,an assassin is shot at the altar by her ruthless employer bill and other members of their assassination circle  but the bride lives to plot her vengeance setting out for some payback she makes a death list and hunts down those who wronged her saving bill for last,kill bill vol 1,7.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,jarhead is a film about a us marine anthony swoffords experience in the gulf war after putting up with an arduous boot camp swafford and his unit are sent to the persian gulf where they are earger to fight but are forced to stay back from the action meanwhile swofford gets news of his girlfriend is cheating on him desperately he wants to kill someone and finally put his training to use,jarhead,6.6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
12,at the height of the vietnam war captain benjamin willard is sent on a dangerous mission that officially does not exist nor will it ever exist his goal is to locate  and eliminate  a mysterious green beret colonel named walter kurtz who has been leading his personal army on illegal guerrilla missions into enemy territory,apocalypse now,8.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
13,william munny is a retired onceruthless killer turned gentle widower and hog farmer to help support his two motherless children he accepts one last bountyhunter mission to find the men who brutalized a prostitute joined by his former partner and a cocky greenhorn he takes on a corrupt sheriff,unforgiven,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,after homer accidentally pollutes the towns water supply springfield is encased in a gigantic dome by the epa and the simpsons are declared fugitives,the simpsons movie,6.9,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,joel barish heartbroken that his girlfriend underwent a procedure to erase him from her memory decides to do the same however as he watches his memories of her fade away he realises that he still loves her and may be too late to correct his mistake,eternal sunshine of the spotless mind,7.9,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
16,three different people in mexico city are catapulted into dramatic and unforeseen circumstances in the wake of a terrible car crash a young punk stumbles into the sinister underground world of dog fighting an injured supermodels designer pooch disappears into the apartments floorboards and an exradical turned hit man rescues a gunshot rotweiler,amores perros,7.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
17,captain jack sparrow works his way out of a blood debt with the ghostly davey jones he also attempts to avoid eternal damnation,pirates of the caribbean dead mans chest,7.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,an average family is thrust into the spotlight after the father commits a seemingly selfdefense murder at his diner,a history of violence,6.9,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
19,humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of hal 9000 the worlds most advanced super computer,2001 a space odyssey,7.9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,the setting is detroit in 1995 the city is divided by 8 mile a road that splits the town in half along racial lines a young white rapper jimmy brabbit smith jr summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop with his pal future and the three one third in place all he has to do is not choke,8 mile,6.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,a master thief coincidentally is robbing a house where a murder in which the president of the united states is involved occurs in front of his eyes he is forced to run yet may hold evidence that could convict the president a political thriller from and starring clint eastwood and based on a novel by david baldacci,absolute power,6.4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
22,lowlevel bureaucrat sam lowry escapes the monotony of his daytoday life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist harry tuttle he meets the woman from his daydream and in trying to help her gets caught in a web of mistaken identities mindless bureaucracy and lies,brazil,7.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,a chronicle of country music legend johnny cashs life from his early days on an arkansas cotton farm to his rise to fame with sun records in memphis where he recorded alongside elvis presley jerry lee lewis and carl perkins,walk the line,7.3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
24,despondent over a painful estrangement from his daughter trainer frankie dunn isnt prepared for boxer maggie fitzgerald to enter his life but maggies determined to go pro and to convince dunn and his cohort to help her,million dollar baby,7.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,set against the background of the 1984 miners strike billy elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor he faces many trials and triumphs as he strives to conquer his familys set ways inner conflict and standing on his toes,billy elliot,7.4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
26,derek vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break intosteal his truck through his brother danny vineyards narration we learn that before going to prison derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout la and his actions greatly influenced danny reformed and fresh out of prison derek severs contact with the gang and becomes determined to keep danny from going down the same violent path as he did,american history x,8.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,ray ferrier is a divorced dockworker and lessthanperfect father soon after his exwife and her new husband drop of his teenage son and young daughter for a rare weekend visit a strange and powerful lightning storm touches down,war of the worlds,6.2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,we come in peace is not what those green men from mars mean when they invade our planet armed with irresistible weapons and a cruel sense of humor this star studded cast must play victim to the aliens fun and games in this comedy homage to science fiction films of the 50s and 60s,mars attacks,6.1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,a dialogue marathon of a film this fairytale love story of an american boy and french girl during a day and a night together in vienna their two hearts collide,before sunrise,7.7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
30,suffering shortterm memory loss after a head injury leonard shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty complex thriller that packs more knots than a hangmans noose to carry out his plan shelby snaps polaroids of people and places jotting down contextual notes on the backs of photos to aid in his search and jog his memory he even tattoos his own body in a desperate bid to remember,memento,8.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
31,in the smogchoked dystopian los angeles of 2019 blade runner rick deckard is called out of retirement to terminate a quartet of replicants who have escaped to earth seeking their creator for a way to extend their short life spans,blade runner,7.9,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
32,one man defeated three assassins who sought to murder the most powerful warlord in preunified china,hero,7.2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
33,nine years ago two strangers met by chance and spent a night in vienna that ended before sunrise they are about to meet for the first time since now they have one afternoon to find out if they belong together,before sunset,7.6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
34,two divers are left out at sea without a boat theres nothing but water for miles unless they look at whats underneath them,open water,5.4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
35,when dr indiana jones  the tweedsuited professor who just happens to be a celebrated archaeologist  is hired by the government to locate the legendary ark of the covenant he finds himself up against the entire nazi regime,raiders of the lost ark,7.7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,after arriving in india indiana jones is asked by a desperate village to find a mystical stone he agrees  and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace,indiana jones and the temple of doom,7.1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,when dr henry jones sr suddenly goes missing while pursuing the holy grail eminent archaeologist indiana must team up with marcus brody sallah and elsa schneider to follow in his fathers footsteps and stop the nazis from recovering the power of eternal life,indiana jones and the last crusade,7.6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,toughtalking detroit cop axel foley heads to the rarified world of beverly hills in his beatup chevy nova to investigate a friends murder but soon he realizes hes stumbled onto something much more complicated bungling rookie detective billy rosewood joins the fishoutofwater axel and shows him the west los angeles ropes,beverly hills cop,6.8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,when an asteroid threatens to collide with earth nasa honcho dan truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb this leads him to renowned driller harry stamper who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew among them is the cocksure aj who harry thinks isnt good enough for his daughter until the mission proves otherwise,armageddon,6.4,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,detroit cop axel foley heads for the land of sunshine and palm trees to find out who shot police captain andrew bogomil thanks to a couple of old friends axels investigation uncovers a series of robberies masterminded by a heartless weapons kingpin  and the chase is on,beverly hills cop ii,6.1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,in the year 180 the death of emperor marcus aurelius throws the roman empire into chaos maximus is one of the roman armys most capable and trusted generals and a key advisor to the emperor as marcus devious son commodus ascends to the throne maximus is set to be executed he escapes but is captured by slave traders renamed spaniard and forced to become a gladiator maximus must battle to the death with other men for the amusement of paying audiences his battle skills serve him well and he becomes one of the most famous and admired men to fight in the colosseum determined to avenge himself against the man who took away his freedom and laid waste to his family maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory as the gladiator begins to challenge his rule commodus decides to put his own fighting mettle to the test by squaring off with maximus in a battle to the death,gladiator,7.9,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,a card sharp and his unwillinglyenlisted friends need to make a lot of cash quick after losing a sketchy poker match to do this they decide to pull a heist on a smalltime gang who happen to be operating out of the flat next door,lock stock and two smoking barrels,7.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,a mentally unstable vietnam war veteran works as a nighttime taxi driver in new york city where the perceived decadence and sleaze feeds his urge for violent action attempting to save a preadolescent prostitute in the process,taxi driver,8.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,lola receives a phone call from her boyfriend manni he lost 100000 dm in a subway train that belongs to a very bad guy she has 20 minutes to raise this amount and meet manni otherwise he will rob a store to get the money three different alternatives may happen depending on some minor event along lolas run,run lola run,7.2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
45,eighties teenager marty mcfly is accidentally sent back in time to 1955 inadvertently disrupting his parents first meeting and attracting his mothers romantic interest marty must repair the damage to history by rekindling his parents romance and  with the help of his eccentric inventor friend doc brown  return to 1985,back to the future,8.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,dutch and his group of commandos are hired by the cia to rescue downed airmen from guerillas in a central american jungle the mission goes well but as they return they find that something is hunting them nearly invisible it blends in with the forest taking trophies from the bodies of its victims as it goes along occasionally seeing through its eyes the audience sees it is an intelligent alien hunter hunting them for sport killing them off one at a time,predator,7.3,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,the second film from british director guy ritchie snatch tells an obscure story similar to his first fastpaced crazy charactercolliding filled film lock stock and two smoking barrels there are two overlapping stories here  one is the search for a stolen diamond and the other about a boxing promoter whos having trouble with a psychotic gangster,snatch,7.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,after getting a green card in exchange for assassinating a cuban government official tony montana stakes a claim on the drug trade in miami viciously murdering anyone who stands in his way tony eventually becomes the biggest drug lord in the state controlling nearly all the cocaine that comes through miami but increased pressure from the police wars with colombian drug cartels and his own drugfueled paranoia serve to fuel the flames of his eventual downfall,scarface,8.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
49,when millionaire wheelerdealer edward lewis enters a business contract with hollywood hooker vivian ward he loses his heart in the bargain in this charming romantic comedy after edward hires vivian as his date for a week and gives her a cinderella makeover she returns the favor by mellowing the hardnosed tycoons outlook can the poor prostitute and the rich capitalist live happily ever after,pretty woman,7.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,jeffrey the dude lebowski a los angeles slacker who only wants to bowl and drink white russians is mistaken for another jeffrey lebowski a wheelchairbound millionaire and finds himself dragged into a strange series of events involving nihilists adult film producers ferrets errant toes and large sums of money,the big lebowski,7.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,match point is woody allens satire of the british high society and the ambition of a young tennis instructor to enter into it yet when he must decide between two women  one assuring him his place in high society and the other that would bring him far from it  palms start to sweat and a dark psychological match in his head begins,match point,7.3,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
52,young treasury agent elliot ness arrives in chicago and is determined to take down al capone but its not going to be easy because capone has the police in his pocket ness meets jimmy malone a veteran patrolman and probably the most honorable one on the force he asks malone to help him get capone but malone warns him that if he goes after capone he is going to war,the untouchables,7.6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53,a young boy wins a tour through the most magnificent chocolate factory in the world led by the worlds most unusual candy maker,charlie and the chocolate factory,6.7,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
54,young hobbit frodo baggins after inheriting a mysterious ring from his uncle bilbo must leave his home in order to keep it from falling into the hands of its evil creator along the way a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination mt doom the only place where it can be destroyed,the lord of the rings the fellowship of the ring,8.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55,frodo and sam are trekking to mordor to destroy the one ring of power while gimli legolas and aragorn search for the orccaptured merry and pippin all along nefarious wizard saruman awaits the fellowship members at the orthanc tower in isengard,the lord of the rings the two towers,8.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,aragorn is revealed as the heir to the ancient kings as he gandalf and the other members of the broken fellowship struggle to save gondor from saurons forces meanwhile frodo and sam bring the ring closer to the heart of mordor the dark lords realm,the lord of the rings the return of the king,8.1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57,ashitaka a prince of the disappearing ainu tribe is cursed by a demonized boar god and must journey to the west to find a cure along the way he encounters san a young human woman fighting to protect the forest and lady eboshi who is trying to destroy it ashitaka must find a way to bring balance to this conflict,princess mononoke,8.2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
58,a ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monsterlike animals her parents have been changed into pigs along with others inside a bathhouse full of these creatures will she ever see the world how it once was,spirited away,8.3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
59,in the deep south during the 1930s three escaped convicts search for hidden treasure while a relentless lawman pursues them on their journey they come across many comical characters and incredible situations based upon homers odyssey,o brother where art thou,7.3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,a narcissistic tv weatherman along with his attractivebutdistant producer and mawkish cameraman is sent to report on groundhog day in the small town of punxsutawney where he finds himself repeating the same day over and over,groundhog day,7.4,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
61,after narrowly escaping a bizarre accident a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes,donnie darko,7.7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
62,brokeback mountain is an ang lee film about two modern day cowboys who meet on a shepherding job in the summer of 63 the two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live,brokeback mountain,7.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
63,two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous physicallyskilled teenage noblemans daughter who is at a crossroads in her life,crouching tiger hidden dragon,7.2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
64,childhood friends tetsuo and kaneda are pulled into the postapocalyptic underworld of neotokyo and forced to fight for their very survival kaneda is a bike gang leader and tetsuo is a member of a tough motorcycle crew who becomes involved in a covert government project called akira but a bloody battle ensues when kaneda sets out to save his friend,akira,7.8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,when a destructive space entity is spotted approaching earth admiral kirk resumes command of the starship enterprise in order to intercept examine and hopefully stop it,star trek the motion picture,6.2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,two lost souls visiting tokyo  the young neglected wife of a photographer and a washedup movie star shooting a tv commercial  find an odd solace and pensive freedom to be real in each others company away from their lives in america,lost in translation,7.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,admiral james t kirk is feeling old the prospect of accompanying his old ship the enterprise on a two week cadet cruise is not making him feel any younger but the training cruise becomes a a life or death struggle when khan escapes from years of exile and captures the power of creation itself,star trek ii the wrath of khan,7.3,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
68,batman raises the stakes in his war on crime with the help of lt jim gordon and district attorney harvey dent batman sets out to dismantle the remaining criminal organizations that plague the streets the partnership proves to be effective but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker,the dark knight,8.2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
69,admiral kirk and his bridge crew risk their careers stealing the decommissioned enterprise to return to the restricted genesis planet to recover spocks body,star trek iii the search for spock,6.4,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,less than 24 hours into his parole charismatic thief danny ocean is already rolling out his next plan in one night dannys handpicked crew of specialists will attempt to steal more than 150 million from three las vegas casinos but to score the cash danny risks his chances of reconciling with exwife tess,oceans eleven,7.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,a small suburban town receives a visit from a castaway unfinished science experiment named edward,edward scissorhands,7.5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
72,danny ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in rome paris and amsterdam  but a europol agent is hot on their heels,oceans twelve,6.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
73,marty and doc are at it again in this wacky sequel to the 1985 blockbuster as the timetraveling duo head to 2015 to nip some mcfly family woes in the bud but things go awry thanks to bully biff tannen and a pesky sports almanac in a lastditch attempt to set things straight marty finds himself bound for 1955 and face to face with his teenage parents  again,back to the future part ii,7.4,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,prot is a patient at a mental hospital who claims to be from a far away planet his psychiatrist tries to help him only to begin to doubt his own explanations,kpax,7.1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,fugitives of the federation for their daring rescue of spock from the doomed genesis planet admiral kirk william shatner and his crew begin their journey home to face justice for their actions but as they near earth they find it at the mercy of a mysterious alien presence whose signals are slowly destroying the planet in a desperate attempt to answer the call of the probe kirk and his crew race back to the late twentieth century however they soon find the world they once knew to be more alien than anything theyve encountered in the far reaches of the galaxy,star trek iv the voyage home,6.9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,ten years after a band of mercenaries first battled a vicious alien the invisible creature from another world has returned to earth  and this time its drawn to the gangruled and ravaged city of los angeles when it starts murdering drug dealers detectivelieutenant mike harrigan and his police force set out to capture the creature ignoring warnings from a mysterious government agent to stay away,predator 2,5.9,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77,twentyeight days after a killer virus was accidentally unleashed from a british research facility a small group of london survivors are caught in a desperate struggle to protect themselves from the infected carried by animals and humans the virus turns those it infects into homicidal maniacs  and its absolutely impossible to contain,28 days later,7.1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
78,capt kirk and his crew must deal with mr spocks half brother who kidnaps three diplomats and hijacks the enterprise in his obsessive search for god,star trek v the final frontier,5.6,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,a ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine the nautilus commanded by captain nemo,20000 leagues under the sea,6.8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,on the eve of retirement kirk and mccoy are charged with assassinating the klingon high chancellor and imprisoned the enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace,star trek vi the undiscovered country,6.7,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,obsessed with teaching his victims the value of life a deranged sadistic serial killer abducts the morally wayward once captured they must face impossible choices in a horrific game of survival the victims must fight to win their lives back or die trying,saw,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
82,two troubled men face their terrible destinies and events of their past as they join together on a mission to find the holy grail and thus to save themselves,the fisher king,7.2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,after silvia broome an interpreter at united nations headquarters overhears plans of an assassination an american secret service agent is sent to investigate,the interpreter,6.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
84,john anderton is a top precrime cop in the late21st century when technology can predict crimes before theyre committed but anderton becomes the quarry when another investigator targets him for a murder charge,minority report,7.1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
85,an american journalist played by george clooney arrives in berlin just after the end of world war two he becomes involved in a murder mystery surrounding a dead gi who washes up at a lakeside mansion during the potsdam negotiations between the allied powers soon his investigation connects with his search for his married prewar german lover played by cate blanchett,the good german,5.9,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
86,jackie brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss when the cops try to use jackie to get to her boss she hatches a planwith help from a bail bondsmanto keep the money for herself based on elmore leonards novel rum punch,jackie brown,7.3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,slevin is mistakenly put in the middle of a personal war between the citys biggest criminal bosses under constant watch slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma a film with many twists and turns,lucky number slevin,7.4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
88,welcome to sin city this town beckons to the tough the corrupt the brokenhearted some call it dark hardboiled then there are those who call it home  crooked cops sexy dames desperate vigilantes some are seeking revenge others lust after redemption and then there are those hoping for a little of both a universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care,sin city,7.2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,some of sin citys most hardboiled citizens cross paths with a few of its more reviled inhabitants,sin city a dame to kill for,6.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,captain jeanluc picard and the crew of the enterprised find themselves at odds with the renegade scientist soran who is destroying entire star systems only one man can help picard stop sorans schemeand hes been dead for seventyeight years,star trek generations,6.4,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,at a tiny parisian caf the adorable yet painfully shy amlie audrey tautou accidentally discovers a gift for helping others soon amelie is spending her days as a matchmaker guardian angel and allaround dogooder but when she bumps into a handsome stranger will she find the courage to become the star of her very own love story,amlie,7.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,the final installment of the back to the future trilogy finds marty digging the trusty delorean out of a mineshaft and looking up doc in the wild west of 1885 but when their time machine breaks down the travelers are stranded in a land of spurs more problems arise when doc falls for pretty schoolteacher clara clayton and marty tangles with buford tannen,back to the future part iii,7.1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,enraged at the slaughter of murron his new bride and childhood love scottish warrior william wallace slays a platoon of the local english lords soldiers this leads the village to revolt and eventually the entire country to rise up against english rule,braveheart,7.7,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
94,the borg a relentless race of cyborgs are on a direct course for earth violating orders to stay away from the battle captain picard and the crew of the newlycommissioned uss enterprise e pursue the borg back in time to prevent the invaders from changing federation history and assimilating the galaxy,star trek first contact,7.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95,when an alien race and factions within starfleet attempt to take over a planet that has regenerative properties it falls upon captain picard and the crew of the enterprise to defend the planets people as well as the very ideals upon which the federation itself was founded,star trek insurrection,6.3,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
96,en route to the honeymoon of william riker to deanna troi on her home planet of betazed captain jeanluc picard and the crew of the uss enterprise receives word from starfleet that a coup has resulted in the installation of a new romulan political leader shinzon who claims to seek peace with the humanbacked united federation of planets once in enemy territory the captain and his crew make a startling discovery shinzon is human a slave from the romulan sister planet of remus and has a secret shocking relationship to picard himself,star trek nemesis,6.1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
97,a smalltime hood must choose from among love friendship and the chance to rise within the mob,mean streets,7.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
